Team,State
Air Force,Colorado
Akron,Ohio
Alabama,Alabama
Appalachian State,North Carolina
Arizona,Arizona
Arizona State,Arizona
Arkansas,Arkansas
Arkansas State,Arkansas
Army,New York
Auburn,Alabama
Ball State,Indiana
Baylor,Texas
Boise State,Idaho
Boston College,Massachusetts
Bowling Green,Ohio
Buffalo,New York
BYU,Utah
California,California
Central Michigan,Michigan
Charlotte,North Carolina
Cincinnati,Ohio
Clemson,South Carolina
Coastal Carolina,South Carolina
Colorado,Colorado
Colorado State,Colorado
Duke,North Carolina
East Carolina,North Carolina
Eastern Michigan,Michigan
Florida International,Florida
Florida,Florida
Florida Atlantic,Florida
Florida State,Florida
Fresno State,California
Georgia,Georgia
Georgia Southern,Georgia
Georgia State,Georgia
Georgia Tech,Georgia
Hawaii,Hawai'i
Houston,Texas
Illinois,Illinois
Indiana,Indiana
Iowa,Iowa
Iowa State,Iowa
Kansas,Kansas
Kansas State,Kansas
Kent State,Ohio
Kentucky,Kentucky
Liberty,Virginia
Louisiana,Louisiana
Louisiana Monroe,Louisiana
Louisiana Tech,Louisiana
Louisville,Kentucky
LSU,Louisiana
Marshall,West Virginia
Maryland,Maryland
Memphis,Tennessee
Miami,Florida
Miami (OH),Ohio
Michigan,Michigan
Michigan State,Michigan
Middle Tennessee,Tennessee
Minnesota,Minnesota
Mississippi State,Mississippi
Missouri,Missouri
Navy,Maryland
NC State,North Carolina
Nebraska,Nebraska
Nevada,Nevada
New Mexico,New Mexico
New Mexico State,New Mexico
North Carolina,North Carolina
North Texas,Texas
Northern Illinois,Illinois
Northwestern,Illinois
Notre Dame,Indiana
Ohio,Ohio
Ohio State,Ohio
Oklahoma,Oklahoma
Oklahoma State,Oklahoma
Old Dominion,Virginia
Ole Miss,Mississippi
Oregon,Oregon
Oregon State,Oregon
Penn State,Pennsylvania
Pittsburgh,Pennsylvania
Purdue,Indiana
Rice,Texas
Rutgers,New Jersey
San Diego State,California
San Jose State,California
SMU,Texas
South Alabama,Alabama
South Carolina,South Carolina
South Florida,Florida
Southern Mississippi,Mississippi
Stanford,California
Syracuse,New York
TCU,Texas
Temple,Pennsylvania
Tennessee,Tennessee
Texas,Texas
Texas A&M,Texas
Texas State,Texas
Texas Tech,Texas
Toledo,Ohio
Troy,Alabama
Tulane,Louisiana
Tulsa,Oklahoma
UAB,Alabama
UCF,Florida
UCLA,California
UConn,Connecticut
UMass,Massachusetts
UNLV,Nevada
USC,California
UTEP,Texas
UT San Antonio,Texas
Utah,Utah
Utah State,Utah
Vanderbilt,Tennessee
Virginia,Virginia
Virginia Tech,Virginia
Wake Forest,North Carolina
Washington,Washington
Washington State,Washington
West Virginia,West Virginia
Western Kentucky,Kentucky
Western Michigan,Michigan
Wisconsin,Wisconsin
Wyoming,Wyoming
Abilene Christian,Texas
Austin Peay,Tennessee
Campbell,North Carolina
Chattanooga,Tennessee
Eastern Kentucky,Kentucky
Houston Baptist,Texas
Jacksonville State,Florida
Mercer,Georgia
Missouri State,Missouri
North Alabama,Alabama
Stephen F. Austin,Texas
The Citadel,South Carolina
Western Carolina,North Carolina
Central Arkansas,Arkansas
